date,set,type,name,market_price,low_price,high_price,source_url
2026-06-25,Ascended Heroes Pokemon Center Exclusive,ETB,Ascended Heroes Pokemon Center Elite Trainer Box (Exclusive),464.97,484.0,2500.0,https://www.pokeinsight.com/sealed-products/ascended-heroes-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Fusion Strike Pokemon Center Exclusive,ETB,Fusion Strike Pokemon Center Elite Trainer Box (Exclusive),424.1,495.0,999.99,https://www.pokeinsight.com/sealed-products/fusion-strike-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Paldean Fates,ETB,Paldean Fates Elite Trainer Box,412.46,419.0,800.0,https://www.pokeinsight.com/sealed-products/paldean-fates-elite-trainer-box
2026-06-25,Celebrations,ETB,Celebrations Elite Trainer Box,324.28,310.0,2999.99,https://www.pokeinsight.com/sealed-products/celebrations-elite-trainer-box
2026-06-25,Crown Zenith,ETB,Crown Zenith Elite Trainer Box,315.39,315.0,785.0,https://www.pokeinsight.com/sealed-products/crown-zenith-elite-trainer-box
2026-06-25,Fusion Strike,ETB,Fusion Strike Elite Trainer Box,310.88,315.0,550.0,https://www.pokeinsight.com/sealed-products/fusion-strike-elite-trainer-box
2026-06-25,Phantasmal Flames Pokemon Center Exclusive,ETB,Phantasmal Flames Pokemon Center Elite Trainer Box (Exclusive),310.5,305.0,1999.0,https://www.pokeinsight.com/sealed-products/phantasmal-flames-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Lost Origin Pokemon Center Exclusive,ETB,Lost Origin Pokemon Center Elite Trainer Box (Exclusive),302.56,339.0,2999.99,https://www.pokeinsight.com/sealed-products/lost-origin-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Silver Tempest Pokemon Center Exclusive,ETB,Silver Tempest Pokemon Center Elite Trainer Box (Exclusive),300.89,356.99,700.0,https://www.pokeinsight.com/sealed-products/silver-tempest-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Scarlet Violet Pokemon Center Exclusive Miraidon,ETB,Scarlet & Violet Pokemon Center Elite Trainer Box (Exclusive) [Miraidon],299.6,295.0,750.0,https://www.pokeinsight.com/sealed-products/scarlet-violet-pokemon-center-elite-trainer-box-exclusive-miraidon
2026-06-25,Scarlet Violet Pokemon Center Exclusive Koraidon,ETB,Scarlet & Violet Pokemon Center Elite Trainer Box (Exclusive) [Koraidon],290.78,295.0,550.0,https://www.pokeinsight.com/sealed-products/scarlet-violet-pokemon-center-elite-trainer-box-exclusive-koraidon
2026-06-25,Black Bolt Pokemon Center Exclusive,ETB,Black Bolt Pokemon Center Elite Trainer Box (Exclusive),280.02,274.99,1179.99,https://www.pokeinsight.com/sealed-products/black-bolt-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Rebel Clash,ETB,Rebel Clash Elite Trainer Box,275.71,344.99,499.99,https://www.pokeinsight.com/sealed-products/rebel-clash-elite-trainer-box
2026-06-25,Surging Sparks Pokemon Center Exclusive,ETB,Surging Sparks Pokemon Center Elite Trainer Box (Exclusive),274.97,274.99,649.99,https://www.pokeinsight.com/sealed-products/surging-sparks-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Obsidian Flames,ETB,Obsidian Flames Elite Trainer Box,252.11,275.0,500.0,https://www.pokeinsight.com/sealed-products/obsidian-flames-elite-trainer-box
2026-06-25,Mega Evolution Pokemon Center Exclusive Mega Lucario,ETB,Mega Evolution Pokemon Center Elite Trainer Box (Exclusive) [Mega Lucario],248.63,239.99,1999.0,https://www.pokeinsight.com/sealed-products/mega-evolution-pokemon-center-elite-trainer-box-exclusive-mega-lucario
2026-06-25,Chilling Reign Set Of 2,ETB,Chilling Reign Elite Trainer Box [Set of 2],240.59,289.88,340.0,https://www.pokeinsight.com/sealed-products/chilling-reign-elite-trainer-box-set-of-2
2026-06-25,Scarlet Violetes Set Of 2,ETB,Scarlet & Violet Elite Trainer Boxes [Set of 2],239.59,399.99,399.99,https://www.pokeinsight.com/sealed-products/scarlet-violet-elite-trainer-boxes-set-of-2
2026-06-25,Paradox Riftes Set Of 2,ETB,Paradox Rift Elite Trainer Boxes [Set of 2],221.86,329.99,399.99,https://www.pokeinsight.com/sealed-products/paradox-rift-elite-trainer-boxes-set-of-2
2026-06-25,White Flare Pokemon Center Exclusive,ETB,White Flare Pokemon Center Elite Trainer Box (Exclusive),220.92,210.0,1250.0,https://www.pokeinsight.com/sealed-products/white-flare-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Destined Rivals,ETB,Destined Rivals Elite Trainer Box,220.14,209.99,999.0,https://www.pokeinsight.com/sealed-products/destined-rivals-elite-trainer-box
2026-06-25,Brilliant Stars Pokemon Center Exclusive,ETB,Brilliant Stars Pokemon Center Elite Trainer Box (Exclusive),218.82,240.0,1011.95,https://www.pokeinsight.com/sealed-products/brilliant-stars-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Mega Evolution Pokemon Center Exclusive Mega Gardevoir,ETB,Mega Evolution Pokemon Center Elite Trainer Box (Exclusive) [Mega Gardevoir],213.32,200.0,1999.0,https://www.pokeinsight.com/sealed-products/mega-evolution-pokemon-center-elite-trainer-box-exclusive-mega-gardevoir
2026-06-25,Sword Shield Plus Zacian,ETB,Sword & Shield Elite Trainer Box Plus [Zacian],211.98,274.99,500.0,https://www.pokeinsight.com/sealed-products/sword-shield-elite-trainer-box-plus-zacian
2026-06-25,Pokemon Go Pokemon Center Plus Exclusive,ETB,Pokemon GO Pokemon Center Elite Trainer Box Plus (Exclusive),204.11,275.0,799.99,https://www.pokeinsight.com/sealed-products/pokemon-go-pokemon-center-elite-trainer-box-plus-exclusive
2026-06-25,Temporal Forces Set Of 2,ETB,Temporal Forces Elite Trainer Box [Set of 2],194.32,209.99,235.0,https://www.pokeinsight.com/sealed-products/temporal-forces-elite-trainer-box-set-of-2
2026-06-25,Prismatic Evolutions Dollar General Exclusive,ETB,Prismatic Evolutions Elite Trainer Box (Dollar General Exclusive),192.03,210.0,336.0,https://www.pokeinsight.com/sealed-products/prismatic-evolutions-elite-trainer-box-dollar-general-exclusive
2026-06-25,Journey Together Pokemon Center Exclusive,ETB,Journey Together Pokemon Center Elite Trainer Box (Exclusive),191.2,184.99,9696.0,https://www.pokeinsight.com/sealed-products/journey-together-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Astral Radiance Pokemon Center Exclusive,ETB,Astral Radiance Pokemon Center Elite Trainer Box (Exclusive),189.83,199.98,600.0,https://www.pokeinsight.com/sealed-products/astral-radiance-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Temporal Forces Pokemon Center Exclusive Iron Leaves,ETB,Temporal Forces Pokemon Center Elite Trainer Box (Exclusive) [Iron Leaves],189.71,189.81,450.0,https://www.pokeinsight.com/sealed-products/temporal-forces-pokemon-center-elite-trainer-box-exclusive-iron-leaves
2026-06-25,Temporal Forces Pokemon Center Exclusive Walking Wake,ETB,Temporal Forces Pokemon Center Elite Trainer Box (Exclusive) [Walking Wake],189.18,193.91,499.99,https://www.pokeinsight.com/sealed-products/temporal-forces-pokemon-center-elite-trainer-box-exclusive-walking-wake
2026-06-25,Paradox Rift Pokemon Center Exclusive Roaring Moon,ETB,Paradox Rift Pokemon Center Elite Trainer Box (Exclusive) [Roaring Moon],188.07,195.0,499.99,https://www.pokeinsight.com/sealed-products/paradox-rift-pokemon-center-elite-trainer-box-exclusive-roaring-moon
2026-06-25,Lost Origin,ETB,Lost Origin Elite Trainer Box,184.71,179.0,499.9,https://www.pokeinsight.com/sealed-products/lost-origin-elite-trainer-box
2026-06-25,Paldea Evolved,ETB,Paldea Evolved Elite Trainer Box,182.75,176.0,2999.99,https://www.pokeinsight.com/sealed-products/paldea-evolved-elite-trainer-box
